[-0.7839,  1.7448, -1.2637,  0.4250,  0.8629, -0.6223]
[-0.7849,  1.7470, -1.2653,  0.4255,  0.8640, -0.6230]
[-0.7860,  1.7490, -1.2668,  0.4260,  0.8650, -0.6237]
[-0.7869,  1.7509, -1.2682,  0.4265,  0.8660, -0.6244]
[-0.7878,  1.7528, -1.2696,  0.4270,  0.8670, -0.6251]
[-0.7887,  1.7545, -1.2709,  0.4274,  0.8678, -0.6257]
[-0.7895,  1.7562, -1.2721,  0.4278,  0.8687, -0.6263]
[-0.7903,  1.7578, -1.2733,  0.4282,  0.8695, -0.6269]
[-0.7911,  1.7593, -1.2744,  0.4286,  0.8703, -0.6274]
[-0.7918,  1.7607, -1.2754,  0.4289,  0.8710, -0.6279]
[-0.7925,  1.7620, -1.2764,  0.4293,  0.8717, -0.6284]
[-0.7931,  1.7633, -1.2774,  0.4296,  0.8724, -0.6289]
[-0.7937,  1.7645, -1.2783,  0.4299,  0.8730, -0.6293]
[-0.7943,  1.7657, -1.2792,  0.4302,  0.8736, -0.6297]
[-0.7949,  1.7668, -1.2800,  0.4305,  0.8742, -0.6301]
[-0.7954,  1.7678, -1.2808,  0.4308,  0.8747, -0.6305] o
[-0.8064,  1.9953, -0.9831,  0.7100,  1.1818, -1.1531]
[-0.4831,  1.9275, -0.8680,  1.8928,  1.0792, -1.7261]
[-0.2676,  2.1074, -1.1871,  2.8793,  1.3820, -2.1976]
[-0.4396,  2.1692, -1.3034,  2.7575,  1.2643, -2.2182]
[-0.4832,  2.1594, -1.2836,  2.7168,  1.2418, -2.1969]
[-0.5038,  2.1702, -1.3038,  2.7022,  1.2258, -2.2001] c
[-0.3549,  2.1069, -1.1894,  2.8148,  1.3317, -2.1924]
[ 0.0785,  1.9675, -0.9094,  2.8797,  1.4551, -2.0722]
[ 0.2157,  1.9602, -0.8871,  2.8798,  1.4707, -2.0587]
[ 0.1916,  2.5448, -1.1488,  2.8798,  1.5290, -1.7506]
[ 0.1908,  2.6967, -1.2133,  2.8798,  1.5453, -1.6671] o




